Sample,Typhimurium_ST19_E1,Typhimurium_ST19_E2,Typhimurium_ST19_E3,Typhimurium_ST34,Typhimurium_ST313_E1,Typhimurium_ST313_E2,Typhimurium_ST313_E3,Typhimurium_ST313_I,Enteritidis_GEC,Enteritidis_WA,Enteritidis_ECA,Typhi_2.3,Typhi_3.2,Typhi_4.3,Paratyphi_A_A,Paratyphi_A_C,Paratyphi_A_F,Paratyphi_C
Typhimurium_ST19_E1,1.0,0.9788252461027263,0.9806990469413862,0.9697498769467622,0.9651592049723565,0.9792312351471886,0.9626821089999775,0.9260037478963582,0.969917756470471,0.9407556389761664,0.9316068985286375,0.8562230791524659,0.901552967990534,0.9014858854141209,0.9122053637025032,0.9065721757461792,0.9126181580707446,0.9532195786221097
Typhimurium_ST19_E2,0.9788252461027263,1.0,0.9849428579727924,0.9797954487664466,0.9687628700005069,0.9878324166545953,0.9627836216330443,0.9274280133437426,0.9749819489198293,0.9521262996229224,0.928584314196666,0.892994800419233,0.9129853481540905,0.9248697985736999,0.9313530987039023,0.9252009215853945,0.9275795370672417,0.9712479573722781
Typhimurium_ST19_E3,0.9806990469413862,0.9849428579727924,1.0,0.9662913979158967,0.9761693738131298,0.987709638765532,0.9791364202570884,0.9408172678254049,0.9790645787519505,0.9558603822760561,0.9405920924948755,0.8979832120552855,0.9272676098160807,0.9233213717004913,0.9275901689029099,0.9251453021851741,0.9256792057458967,0.9693011084381922
Typhimurium_ST34,0.9697498769467622,0.9797954487664466,0.9662913979158967,1.0,0.9692916625229742,0.9728652036239849,0.9470985303321627,0.9100806740287626,0.9538753912290429,0.9515905963801743,0.9146640876656239,0.8458824487233652,0.8882745418786824,0.8935965339578651,0.9121822633429968,0.9154962676809768,0.9101721312377596,0.9615218396301239
Typhimurium_ST313_E1,0.9651592049723565,0.9687628700005069,0.9761693738131298,0.9692916625229742,1.0,0.9702975108544896,0.9570202253998641,0.9369258993137815,0.9623275482739445,0.9582302398105085,0.933479281124934,0.8539028378088558,0.9013611229936712,0.8863635025187541,0.9143457903255126,0.9105287490222871,0.9133094959288783,0.9523446437487978
Typhimurium_ST313_E2,0.9792312351471886,0.9878324166545953,0.987709638765532,0.9728652036239849,0.9702975108544896,1.0,0.9722675179507908,0.933086168862819,0.9751352374690128,0.9561796260133286,0.9354636187020925,0.9044333575458723,0.9347716431677192,0.9205756633781614,0.9379099449561747,0.9340679915020437,0.9392609616476182,0.9724168735492483
Typhimurium_ST313_E3,0.9626821089999775,0.9627836216330443,0.9791364202570884,0.9470985303321627,0.9570202253998641,0.9722675179507908,1.0,0.9120293086408087,0.9564618151507734,0.9387305775010848,0.9270554687187369,0.8847956206307538,0.9056050019707591,0.8998807792905134,0.9044173219667806,0.8992737266015616,0.9012539745497594,0.9492707980699737
Typhimurium_ST313_I,0.9260037478963582,0.9274280133437426,0.9408172678254049,0.9100806740287626,0.9369258993137815,0.933086168862819,0.9120293086408087,1.0,0.9467209629760046,0.9082523568159918,0.9400161718611912,0.826391877761687,0.8812584021380414,0.8391641592072191,0.8708536854982507,0.862218456816131,0.8635253181675032,0.9104342792312461
Enteritidis_GEC,0.969917756470471,0.9749819489198293,0.9790645787519505,0.9538753912290429,0.9623275482739445,0.9751352374690128,0.9564618151507734,0.9467209629760046,1.0,0.9505380852910995,0.9472467007346574,0.8950283544018144,0.9172116983187474,0.9202713986104669,0.9171381252260017,0.9133548078032022,0.9135005203458102,0.9531324910646652
Enteritidis_WA,0.9407556389761664,0.9521262996229224,0.9558603822760561,0.9515905963801743,0.9582302398105085,0.9561796260133286,0.9387305775010848,0.9082523568159918,0.9505380852910995,1.0,0.9352847403213366,0.8564895378946159,0.8903227730425092,0.8962478201128298,0.9058142441820606,0.9096468464978608,0.9010286468171654,0.9491284528419355
Enteritidis_ECA,0.9316068985286375,0.928584314196666,0.9405920924948755,0.9146640876656239,0.933479281124934,0.9354636187020925,0.9270554687187369,0.9400161718611912,0.9472467007346574,0.9352847403213366,1.0,0.8545916586784417,0.8842636909776636,0.8942196348465528,0.8789218375504391,0.8900586856467827,0.8866578304148166,0.9306639581162025
Typhi_2.3,0.8562230791524659,0.892994800419233,0.8979832120552855,0.8458824487233652,0.8539028378088558,0.9044333575458723,0.8847956206307538,0.826391877761687,0.8950283544018144,0.8564895378946159,0.8545916586784417,1.0,0.9552624646431035,0.9347774360747871,0.929477577800821,0.934167390807389,0.9488701852114007,0.9335583961856402
Typhi_3.2,0.901552967990534,0.9129853481540905,0.9272676098160807,0.8882745418786824,0.9013611229936712,0.9347716431677192,0.9056050019707591,0.8812584021380414,0.9172116983187474,0.8903227730425092,0.8842636909776636,0.9552624646431035,1.0,0.9119704991836101,0.9416217450764608,0.9418707520126905,0.9616652023320826,0.9469396819174458
Typhi_4.3,0.9014858854141209,0.9248697985736999,0.9233213717004913,0.8935965339578651,0.8863635025187541,0.9205756633781614,0.8998807792905134,0.8391641592072191,0.9202713986104669,0.8962478201128298,0.8942196348465528,0.9347774360747871,0.9119704991836101,1.0,0.9020016315818704,0.9257324564557292,0.9183075339190815,0.9368333851675391
Paratyphi_A_A,0.9122053637025032,0.9313530987039023,0.9275901689029099,0.9121822633429968,0.9143457903255126,0.9379099449561747,0.9044173219667806,0.8708536854982507,0.9171381252260017,0.9058142441820606,0.8789218375504391,0.929477577800821,0.9416217450764608,0.9020016315818704,1.0,0.9498841951621071,0.9619351624474465,0.9621383379244196
Paratyphi_A_C,0.9065721757461792,0.9252009215853945,0.9251453021851741,0.9154962676809768,0.9105287490222871,0.9340679915020437,0.8992737266015616,0.862218456816131,0.9133548078032022,0.9096468464978608,0.8900586856467827,0.934167390807389,0.9418707520126905,0.9257324564557292,0.9498841951621071,1.0,0.9581470359149531,0.9725088571856215
Paratyphi_A_F,0.9126181580707446,0.9275795370672417,0.9256792057458967,0.9101721312377596,0.9133094959288783,0.9392609616476182,0.9012539745497594,0.8635253181675032,0.9135005203458102,0.9010286468171654,0.8866578304148166,0.9488701852114007,0.9616652023320826,0.9183075339190815,0.9619351624474465,0.9581470359149531,1.0,0.9610686944421986
Paratyphi_C,0.9532195786221097,0.9712479573722781,0.9693011084381922,0.9615218396301239,0.9523446437487978,0.9724168735492483,0.9492707980699737,0.9104342792312461,0.9531324910646652,0.9491284528419355,0.9306639581162025,0.9335583961856402,0.9469396819174458,0.9368333851675391,0.9621383379244196,0.9725088571856215,0.9610686944421986,1.0
